SAMPLE	READ_END	CYCLE	PCT_A	PCT_C	PCT_G	PCT_T	PCT_N
sample1	1	1	19.236209	29.804001	33.663366	17.154981	0.141443
sample1	1	2	28.334681	22.433306	16.835085	32.174616	0.222312
sample1	1	3	28.597413	22.392886	19.280517	29.708973	0.02021
sample1	1	4	25.363783	26.535974	17.582862	30.517381	0
sample1	1	5	36.94422	14.854487	12.287793	35.792239	0.121261
sample1	1	6	31.689572	19.56346	24.595796	23.585287	0.565885
sample1	1	7	31.305578	20.452708	22.069523	26.09135	0.080841
sample1	1	8	28.29426	24.110752	22.756669	24.717057	0.121261
sample1	1	9	18.209378	32.740501	28.415521	20.573969	0.060631
sample1	1	10	31.164107	20.735651	18.371059	29.708973	0.02021
sample1	1	11	25.808407	23.383185	26.414713	24.393694	0
sample1	1	12	27.890057	20.452708	23.848019	27.809216	0
sample1	1	13	25	24.616006	24.656427	25.727567	0
sample1	1	14	24.757478	24.090542	23.504446	27.647534	0
sample1	1	15	27.081649	21.624899	24.434115	26.798707	0.060631
sample1	1	16	29.122878	21.018593	21.059014	28.799515	0
sample1	1	17	28.597413	21.72595	21.362167	28.31447	0
sample1	1	18	28.172999	21.928052	19.886823	30.012126	0
sample1	1	19	28.819725	20.412288	20.392078	30.375909	0
sample1	1	20	28.718674	21.68553	21.119644	28.476152	0
sample1	1	21	27.930477	21.523848	22.089733	28.455942	0
sample1	1	22	27.20291	23.019402	21.382377	28.395311	0
sample1	1	23	27.910267	21.867421	20.270816	29.951496	0
sample1	1	24	29.082458	20.715441	22.130154	28.071948	0
sample1	1	25	28.940986	21.402587	20.594179	29.062247	0
sample1	1	26	27.607114	20.917542	22.372676	29.102668	0
sample1	1	27	27.243331	21.301536	20.088925	31.366209	0
sample1	1	28	29.021827	20.028294	19.886823	31.063056	0
sample1	1	29	28.658044	22.170574	20.109135	29.062247	0
sample1	1	30	30.032336	20.6346	20.230396	29.102668	0
sample1	1	31	26.13177	22.655618	20.917542	30.295069	0
sample1	1	32	26.05093	21.76637	21.139854	31.042846	0
sample1	1	33	27.324171	22.150364	21.76637	28.759095	0
sample1	1	34	26.960388	22.190784	20.897332	29.931285	0.02021
sample1	1	35	27.324171	20.291027	22.8173	29.567502	0
sample1	1	36	26.778496	21.948262	22.433306	28.839935	0
sample1	1	37	27.789006	20.371867	20.897332	30.941795	0
sample1	1	38	27.789006	21.988682	20.998383	29.203719	0.02021
sample1	1	39	27.445432	21.544058	19.60388	31.406629	0
sample1	1	40	26.980598	21.362167	21.240905	30.41633	0
sample1	1	41	28.132579	22.433306	19.624091	29.810024	0
sample1	1	42	27.14228	21.988682	20.594179	30.274859	0
sample1	1	43	27.586904	23.302344	19.947454	29.163298	0
sample1	1	44	27.364592	21.928052	21.099434	29.607922	0
sample1	1	45	26.879547	24.050121	20.533549	28.536783	0
sample1	1	46	27.384802	22.271625	20.897332	29.446241	0
sample1	1	47	28.860146	21.240905	22.332255	27.566694	0
sample1	1	48	27.566694	22.514147	21.139854	28.779305	0
sample1	1	49	28.658044	21.139854	22.130154	28.071948	0
sample1	1	50	25.929669	22.87793	21.78658	29.405821	0
sample1	1	51	28.455942	22.433306	20.109135	29.001617	0
sample1	1	52	28.738884	23.059822	19.987874	28.172999	0.04042
sample1	1	53	28.577203	22.312045	19.785772	29.30477	0.02021
sample1	1	54	27.829426	23.989491	20.371867	27.809216	0
sample1	1	55	28.617623	22.332255	20.371867	28.678254	0
sample1	1	56	27.1827	21.907842	23.322555	27.586904	0
sample1	1	57	26.798707	23.241714	20.432498	29.527082	0
sample1	1	58	27.20291	22.938561	21.74616	28.092158	0.02021
sample1	1	59	27.890057	23.221504	21.483428	27.405012	0
sample1	1	60	27.829426	22.534357	20.250606	29.38561	0
sample1	1	61	26.434923	22.716249	21.867421	28.981407	0
sample1	1	62	27.081649	22.291835	20.230396	30.39612	0
sample1	1	63	28.637833	22.615198	20.553759	28.193209	0
sample1	1	64	28.395311	23.484236	21.079224	27.021019	0.02021
sample1	1	65	27.425222	23.524656	20.6346	28.415521	0
sample1	1	66	26.940178	24.333064	20.957963	27.768795	0
sample1	1	67	28.132579	22.8173	21.443007	27.607114	0
sample1	1	68	27.586904	24.333064	20.533549	27.546483	0
sample1	1	69	29.042037	23.019402	20.776071	27.16249	0
sample1	1	70	27.566694	22.77688	22.271625	27.384802	0
sample1	1	71	29.567502	23.969281	20.291027	26.172191	0
sample1	1	72	27.1827	21.68553	22.958771	28.172999	0
sample1	1	73	27.607114	23.524656	20.67502	28.193209	0
sample1	1	74	28.738884	22.716249	21.988682	26.556184	0
sample1	1	75	27.789006	22.716249	21.827001	27.667745	0
sample1	1	76	28.23363	22.594988	21.422797	27.748585	0
sample1	1	77	28.193209	24.029911	20.533549	27.243331	0
sample1	1	78	26.717866	23.362975	20.957963	28.940986	0.02021
sample1	1	79	26.192401	22.433306	22.675829	28.617623	0.080841
sample1	1	80	27.22312	23.100243	21.119644	28.556993	0
sample1	1	81	26.677445	22.150364	23.484236	27.526273	0.161681
sample1	1	82	28.29426	22.87793	20.978173	27.849636	0
sample1	1	83	28.556993	21.76637	22.069523	27.607114	0
sample1	1	84	28.011318	23.140663	20.856912	27.991108	0
sample1	1	85	27.789006	22.352466	20.149555	29.688763	0.02021
sample1	1	86	28.860146	22.170574	21.503638	27.465643	0
sample1	1	87	28.152789	23.383185	21.523848	26.919968	0.02021
sample1	1	88	28.536783	22.433306	21.584479	27.445432	0
sample1	1	89	26.960388	24.555376	22.514147	25.970089	0
sample1	1	90	27.101859	21.76637	22.413096	28.658044	0.060631
sample1	1	91	27.101859	24.272433	22.170574	26.414713	0.04042
sample1	1	92	27.20291	22.696039	21.544058	28.395311	0.161681
sample1	1	93	26.637025	22.291835	23.524656	27.364592	0.181892
sample1	1	94	26.434923	24.090542	20.937753	28.354891	0.181892
sample1	1	95	28.415521	22.675829	21.624899	27.263541	0.02021
sample1	1	96	26.697656	23.059822	21.079224	29.143088	0.02021
sample1	1	97	27.708165	22.170574	21.139854	28.961196	0.02021
sample1	1	98	28.051738	23.746968	21.887631	26.293452	0.02021
sample1	1	99	27.303961	23.88844	20.755861	27.910267	0.141471
sample1	1	100	27.283751	24.232013	21.362167	26.980598	0.141471
sample1	1	101	27.303961	22.433306	22.392886	27.809216	0.060631
sample1	2	102	17.697526	28.890662	36.552275	16.460495	0.399042
sample1	2	103	29.189944	20.351157	18.934557	31.404629	0.119713
sample1	2	104	29.868316	22.286512	20.411014	27.35435	0.079808
sample1	2	105	25.179569	23.423783	17.976856	33.320032	0.099761
sample1	2	106	38.647247	13.447725	12.669593	35.135674	0.099761
sample1	2	107	31.823623	19.692737	23.20431	25.219473	0.059856
sample1	2	108	30.56664	21.009577	22.106943	26.256983	0.059856
sample1	2	109	30.087789	22.825219	21.308859	25.738228	0.039904
sample1	2	110	21.687949	31.185156	26.656026	20.450918	0.019952
sample1	2	111	31.284916	20.071828	18.67518	29.90822	0.059856
sample1	2	112	24.481245	23.68316	26.556265	25.219473	0.059856
sample1	2	113	28.39186	21.368715	22.246608	27.992817	0
sample1	2	114	26.476457	24.062251	23.762969	25.65842	0.039904
sample1	2	115	26.835595	24.24182	22.505986	26.396648	0.019952
sample1	2	116	28.312051	21.727853	23.822825	26.137271	0
sample1	2	117	30.426975	20.770152	21.149242	27.573823	0.079808
sample1	2	118	29.628891	21.249002	21.588188	27.494014	0.039904
sample1	2	119	30.207502	21.50838	19.792498	28.431764	0.059856
sample1	2	120	31.125299	20.889864	20.710295	27.174781	0.099761
sample1	2	121	28.032721	23.024741	22.286512	26.616121	0.039904
sample1	2	122	27.294493	22.346369	22.366321	27.972865	0.019952
sample1	2	123	27.35435	23.982442	20.690343	27.913009	0.059856
sample1	2	124	29.688747	21.268955	20.909816	27.992817	0.139665
sample1	2	125	27.693536	21.88747	22.605746	27.773344	0.039904
sample1	2	126	29.189944	22.466081	20.051875	28.252195	0.039904
sample1	2	127	28.531524	20.650439	23.184358	27.593775	0.039904
sample1	2	128	28.072626	22.565842	20.351157	29.010375	0
sample1	2	129	29.90822	21.568236	21.209098	27.274541	0.039904
sample1	2	130	29.509178	23.20431	20.490822	26.775738	0.019952
sample1	2	131	28.611333	21.807662	21.947326	27.573823	0.059856
sample1	2	132	27.773344	23.543496	21.747805	26.915403	0.019952
sample1	2	133	28.631285	21.149242	20.171588	30.047885	0
sample1	2	134	27.893057	22.306464	22.1668	27.593775	0.039904
sample1	2	135	28.212291	23.044693	20.071828	28.671189	0
sample1	2	136	28.910615	21.308859	21.807662	27.972865	0
sample1	2	137	26.616121	22.26656	23.004789	28.11253	0
sample1	2	138	27.194733	21.109338	21.428571	30.227454	0.039904
sample1	2	139	28.731045	21.50838	22.665603	27.07502	0.019952
sample1	2	140	28.591381	21.568236	20.869912	28.970471	0
sample1	2	141	27.932961	22.246608	22.106943	27.693536	0.019952
sample1	2	142	29.52913	22.466081	20.590583	27.414206	0
sample1	2	143	30.127694	21.049481	20.171588	28.351955	0.299282
sample1	2	144	27.45411	24.840383	20.670391	26.69593	0.339186
sample1	2	145	28.272147	21.268955	21.767757	28.312051	0.37909
sample1	2	146	26.097366	24.301676	21.288907	27.913009	0.399042
sample1	2	147	29.489226	21.747805	21.22905	27.134876	0.399042
sample1	2	148	27.813248	21.947326	22.944932	26.915403	0.37909
sample1	2	149	27.633679	22.705507	21.807662	27.45411	0.399042
sample1	2	150	28.052674	21.049481	22.505986	27.992817	0.399042
sample1	2	151	28.411812	22.246608	20.311253	28.631285	0.399042
sample1	2	152	29.389465	21.149242	21.428571	27.633679	0.399042
sample1	2	153	29.409417	21.947326	21.927374	26.31684	0.399042
sample1	2	154	28.312051	21.687949	21.249002	28.351955	0.399042
sample1	2	155	28.87071	23.124501	20.57063	27.035116	0.399042
sample1	2	156	28.990423	23.483639	19.772546	27.35435	0.399042
sample1	2	157	26.356744	22.306464	22.984836	27.952913	0.399042
sample1	2	158	27.474062	23.004789	21.807662	27.314445	0.399042
sample1	2	159	27.972865	21.987231	22.785315	26.855547	0.399042
sample1	2	160	27.773344	22.685555	22.366321	26.775738	0.399042
sample1	2	161	27.154828	21.987231	19.912211	30.546688	0.399042
sample1	2	162	29.888268	22.186752	21.12929	26.396648	0.399042
sample1	2	163	28.49162	22.426177	19.533121	29.15004	0.399042
sample1	2	164	27.853152	22.944932	22.326417	26.476457	0.399042
sample1	2	165	30.28731	22.306464	19.612929	27.394254	0.399042
sample1	2	166	27.853152	23.124501	21.249002	27.374302	0.399042
sample1	2	167	27.094972	24.421389	21.50838	26.576217	0.399042
sample1	2	168	27.653631	23.264166	21.648045	27.035116	0.399042
sample1	2	169	27.394254	24.34158	21.807662	26.057462	0.399042
sample1	2	170	27.753392	22.525938	21.488428	27.8332	0.399042
sample1	2	171	28.691141	22.326417	22.426177	26.157223	0.399042
sample1	2	172	29.189944	23.224262	21.408619	25.778132	0.399042
sample1	2	173	29.030327	20.490822	22.366321	27.73344	0.37909
sample1	2	174	27.314445	22.705507	21.169194	28.411812	0.399042
sample1	2	175	29.768555	21.947326	20.810056	27.094972	0.37909
sample1	2	176	28.830806	22.486034	21.488428	26.79569	0.399042
sample1	2	177	28.212291	23.603352	21.169194	26.616121	0.399042
sample1	2	178	27.254589	24.860335	21.707901	25.778132	0.399042
sample1	2	179	27.07502	22.765363	21.428571	28.332003	0.399042
sample1	2	180	26.715882	23.403831	22.54589	26.935355	0.399042
sample1	2	181	26.237031	23.224262	21.408619	28.731045	0.399042
sample1	2	182	28.671189	22.007183	22.067039	26.855547	0.399042
sample1	2	183	26.556265	23.004789	23.284118	26.755786	0.399042
sample1	2	184	27.793296	21.428571	21.308859	29.070231	0.399042
sample1	2	185	28.232243	22.825219	22.226656	26.31684	0.399042
sample1	2	186	28.39186	22.486034	20.510774	28.212291	0.399042
sample1	2	187	28.212291	22.585794	21.468476	27.334397	0.399042
sample1	2	188	29.369513	23.024741	21.149242	26.057462	0.399042
sample1	2	189	28.950519	22.964884	21.88747	25.798085	0.399042
sample1	2	190	28.49162	25	20.690343	25.418994	0.399042
sample1	2	191	28.252195	22.406225	22.366321	26.576217	0.399042
sample1	2	192	27.673583	23.882682	21.50838	26.536313	0.399042
sample1	2	193	28.212291	22.964884	21.947326	26.476457	0.399042
sample1	2	194	27.374302	22.106943	23.064645	27.055068	0.399042
sample1	2	195	28.032721	22.565842	22.54589	26.456504	0.399042
sample1	2	196	27.713488	22.206704	23.363927	26.31684	0.399042
sample1	2	197	27.015164	22.047087	21.568236	28.970471	0.399042
sample1	2	198	28.850758	22.885076	21.707901	26.157223	0.399042
sample1	2	199	28.052674	23.68316	21.807662	26.057462	0.399042
sample1	2	200	28.830806	22.286512	22.1668	26.31684	0.399042
sample1	2	201	28.192338	24.441341	22.246608	24.72067	0.399042
sample1	2	202	29.030327	23.483639	21.268955	25.818037	0.399042
sample2	1	1	18.658833	27.512156	36.264182	17.402755	0.162075
sample2	1	2	26.495033	23.798905	17.636327	32.00892	0.060815
sample2	1	3	27.143726	22.319076	21.792013	28.724914	0.020272
sample2	1	4	24.042165	26.758565	17.048449	32.150821	0
sample2	1	5	38.272856	13.764444	12.446787	35.394283	0.12163
sample2	1	6	30.610176	21.204135	23.170484	24.488141	0.527063
sample2	1	7	31.27914	20.474356	21.670383	26.495033	0.081087
sample2	1	8	27.832962	23.596189	22.846138	25.58281	0.141901
sample2	1	9	19.359416	31.157511	28.745185	20.656801	0.081087
sample2	1	10	30.204744	20.535171	19.582404	29.637138	0.040543
sample2	1	11	23.73809	25.380093	25.967971	24.913846	0
sample2	1	12	27.163998	21.102777	24.325968	27.407257	0
sample2	1	13	23.961078	24.670586	26.353132	25.015204	0
sample2	1	14	24.062437	24.285425	22.339347	29.312791	0
sample2	1	15	28.197851	20.859518	23.251571	27.650517	0.040543
sample2	1	16	28.400568	22.136631	20.312183	29.150618	0
sample2	1	17	28.745185	21.548753	20.656801	29.04926	0
sample2	1	18	30.1642	20.879789	19.379688	29.576323	0
sample2	1	19	29.900669	21.528482	19.785121	28.785729	0
sample2	1	20	27.204541	24.407055	20.758159	27.630245	0
sample2	1	21	27.93432	21.731198	21.792013	28.542469	0
sample2	1	22	25.400365	24.265153	22.035273	28.299209	0
sample2	1	23	28.887087	21.163592	20.231097	29.718224	0
sample2	1	24	26.596392	21.123049	24.123252	28.157308	0
sample2	1	25	28.05595	22.98804	19.927022	29.028988	0
sample2	1	26	26.900466	20.940604	23.535374	28.623556	0
sample2	1	27	26.413947	22.400162	20.251368	30.934523	0
sample2	1	28	28.806	21.731198	19.825664	29.637138	0
sample2	1	29	28.05595	22.460977	20.737888	28.745185	0
sample2	1	30	29.29252	20.981147	20.15001	29.576323	0
sample2	1	31	24.690857	25.278735	21.183864	28.846544	0
sample2	1	32	28.015406	21.447395	20.291912	30.245287	0
sample2	1	33	27.366714	22.096088	22.197446	28.339753	0
sample2	1	34	26.069329	23.048855	21.569025	29.312791	0
sample2	1	35	27.407257	21.14332	22.805595	28.623556	0.020272
sample2	1	36	26.413947	23.332658	22.86641	27.366714	0.020272
sample2	1	37	26.69775	21.832556	20.231097	31.238597	0
sample2	1	38	26.758565	21.082506	22.177174	29.981756	0
sample2	1	39	28.461383	21.447395	20.39327	29.697953	0
sample2	1	40	27.650517	21.346037	21.123049	29.880397	0
sample2	1	41	27.488344	22.704237	20.616258	29.191162	0
sample2	1	42	29.393878	21.041962	20.839246	28.724914	0
sample2	1	43	27.447801	24.488141	21.244679	26.81938	0
sample2	1	44	28.076221	22.217717	21.569025	28.137036	0
sample2	1	45	25.643625	25.09629	20.981147	28.278938	0
sample2	1	46	29.272248	21.38658	20.717616	28.623556	0
sample2	1	47	26.859923	22.400162	23.028583	27.711332	0
sample2	1	48	28.461383	23.312386	19.967565	28.258666	0
sample2	1	49	25.988242	21.710926	22.98804	29.312791	0
sample2	1	50	25.623353	23.879992	19.602676	30.893979	0
sample2	1	51	28.522197	22.136631	20.210825	29.130347	0
sample2	1	52	28.481654	23.211028	21.406852	26.900466	0
sample2	1	53	28.765457	22.136631	21.041962	28.05595	0
sample2	1	54	26.69775	24.285425	20.981147	28.035678	0
sample2	1	55	28.278938	21.994729	20.5149	29.211433	0
sample2	1	56	25.947699	23.636732	22.967768	27.447801	0
sample2	1	57	27.224812	23.819177	20.5149	28.441111	0
sample2	1	58	26.535577	22.258261	23.271843	27.93432	0
sample2	1	59	27.123454	23.778634	22.400162	26.69775	0
sample2	1	60	26.738293	22.298804	20.616258	30.346645	0
sample2	1	61	27.265356	21.75147	22.704237	28.278938	0
sample2	1	62	28.380296	23.150213	19.805392	28.664099	0
sample2	1	63	25.866613	23.211028	22.319076	28.603284	0
sample2	1	64	28.643827	22.927225	20.737888	27.69106	0
sample2	1	65	28.461383	22.62315	21.082506	27.832962	0
sample2	1	66	27.184269	25.380093	20.697344	26.738293	0
sample2	1	67	28.339753	22.400162	21.447395	27.81269	0
sample2	1	68	26.778836	24.954389	21.75147	26.515305	0
sample2	1	69	28.785729	22.86641	20.636529	27.711332	0
sample2	1	70	27.995135	20.839246	24.751672	26.413947	0
sample2	1	71	28.420839	23.393473	20.616258	27.56943	0
sample2	1	72	26.657207	22.663693	22.805595	27.873505	0
sample2	1	73	27.001824	22.927225	20.15001	29.920941	0
sample2	1	74	29.150618	22.298804	20.413541	28.137036	0
sample2	1	75	28.076221	23.312386	22.096088	26.515305	0
sample2	1	76	29.17089	23.413744	20.737888	26.677478	0
sample2	1	77	26.495033	25.136834	20.535171	27.832962	0
sample2	1	78	27.103183	23.150213	20.575715	29.17089	0
sample2	1	79	25.846341	23.454287	23.839449	26.738293	0.12163
sample2	1	80	25.805798	24.22461	22.035273	27.93432	0
sample2	1	81	26.515305	22.98804	23.73809	26.535577	0.222988
sample2	1	82	26.130144	24.488141	22.116359	27.265356	0
sample2	1	83	26.413947	22.50152	20.859518	30.225015	0
sample2	1	84	26.839651	23.636732	21.994729	27.528887	0
sample2	1	85	26.272045	23.636732	20.231097	29.839854	0.020272
sample2	1	86	27.346442	23.008311	22.156902	27.488344	0
sample2	1	87	28.623556	23.535374	21.224407	26.616663	0
sample2	1	88	28.664099	23.839449	20.758159	26.738293	0
sample2	1	89	25.826069	26.758565	20.5149	26.900466	0
sample2	1	90	26.312589	24.021893	21.183864	28.420839	0.060815
sample2	1	91	26.251774	26.474762	21.690655	25.521995	0.060815
sample2	1	92	29.272248	21.954186	20.555443	28.157308	0.060815
sample2	1	93	26.839651	23.10967	24.569228	25.420637	0.060815
sample2	1	94	27.893777	24.994932	20.312183	26.718021	0.081087
sample2	1	95	27.326171	22.359619	22.602879	27.650517	0.060815
sample2	1	96	25.846341	23.920535	20.859518	29.312791	0.060815
sample2	1	97	27.81269	23.778634	20.920332	27.468072	0.020272
sample2	1	98	27.528887	24.548956	22.116359	25.805798	0
sample2	1	99	27.630245	23.312386	21.670383	27.204541	0.182445
sample2	1	100	24.711129	26.130144	22.055544	26.961281	0.141901
sample2	1	101	27.974863	23.879992	20.717616	27.326171	0.101358
sample2	2	102	18.456643	28.460621	37.86794	15.075577	0.13922
sample2	2	103	28.241846	22.195704	17.004773	32.5179	0.039777
sample2	2	104	27.346858	21.400159	22.871917	28.361177	0.019889
sample2	2	105	24.244232	24.463007	18.595863	32.677009	0.019889
sample2	2	106	40.731901	13.206046	12.450278	33.591885	0.019889
sample2	2	107	32.756563	19.888624	22.573588	24.761337	0.019889
sample2	2	108	30.946698	20.704057	23.070804	25.258552	0.019889
sample2	2	109	28.818616	26.054097	21.062053	24.045346	0.019889
sample2	2	110	22.215593	30.011933	26.15354	21.579157	0.039777
sample2	2	111	31.046142	21.81782	19.988067	27.147971	0
sample2	2	112	24.343675	25.616547	25.238663	24.801114	0
sample2	2	113	28.858393	20.704057	23.508353	26.929196	0
sample2	2	114	23.488465	25.238663	26.431981	24.840891	0
sample2	2	115	26.233095	22.593477	22.951472	28.221957	0
sample2	2	116	30.171042	21.996818	23.727128	24.105012	0
sample2	2	117	29.395386	22.215593	19.132856	29.256165	0
sample2	2	118	28.420843	21.658711	22.275259	27.645187	0
sample2	2	119	30.171042	21.10183	20.863166	27.863962	0
sample2	2	120	30.608592	21.24105	20.962609	27.16786	0.019889
sample2	2	121	30.250597	24.184566	20.863166	24.701671	0
sample2	2	122	26.650756	22.454256	23.766905	27.128083	0
sample2	2	123	26.15354	26.272872	21.718377	25.855211	0
sample2	2	124	31.145585	20.564837	20.326173	27.923628	0.039777
sample2	2	125	27.207637	20.823389	25.417661	26.551313	0
sample2	2	126	29.634049	22.155927	21.161496	27.048528	0
sample2	2	127	25.696102	19.888624	24.701671	29.713604	0
sample2	2	128	27.585521	22.235481	20.883055	29.295943	0
sample2	2	129	30.171042	19.848846	21.10183	28.878282	0
sample2	2	130	30.05171	21.837709	20.982498	27.108194	0.019889
sample2	2	131	29.872713	21.857597	21.121718	27.147971	0
sample2	2	132	26.949085	25.159109	22.354813	25.497216	0.039777
sample2	2	133	29.91249	22.195704	20.306285	27.585521	0
sample2	2	134	28.361177	22.712808	22.792363	26.133652	0
sample2	2	135	26.968974	22.871917	21.022275	29.136834	0
sample2	2	136	27.863962	20.564837	25	26.571201	0
sample2	2	137	26.690533	23.070804	23.011138	27.227526	0
sample2	2	138	28.241846	20.8035	21.002387	29.952267	0
sample2	2	139	28.878282	21.340493	22.772474	27.008751	0
sample2	2	140	28.221957	21.479714	19.908512	30.389817	0
sample2	2	141	27.088305	21.638823	22.215593	29.057279	0
sample2	2	142	30.887033	21.141607	18.93397	29.037391	0
sample2	2	143	29.77327	21.062053	20.544948	28.460621	0.159109
sample2	2	144	28.202068	24.482896	21.360382	25.775656	0.178998
sample2	2	145	27.863962	21.042164	23.329356	27.545744	0.218775
sample2	2	146	25.57677	25.238663	22.11615	26.829753	0.238663
sample2	2	147	28.957836	21.81782	20.425617	28.540175	0.258552
sample2	2	148	27.74463	21.6786	24.224344	26.093874	0.258552
sample2	2	149	29.574383	22.494033	19.988067	27.684964	0.258552
sample2	2	150	27.128083	20.66428	24.840891	27.108194	0.258552
sample2	2	151	25.417661	22.673031	20.346062	31.304694	0.258552
sample2	2	152	30.389817	20.942721	20.306285	28.102625	0.258552
sample2	2	153	29.176611	22.573588	21.201273	26.809865	0.238663
sample2	2	154	29.355609	21.400159	21.459825	27.545744	0.238663
sample2	2	155	27.227526	24.86078	20.823389	26.829753	0.258552
sample2	2	156	29.097056	22.056484	21.340493	27.247414	0.258552
sample2	2	157	27.16786	23.070804	22.076372	27.406523	0.278441
sample2	2	158	27.505967	23.468576	20.246619	28.520286	0.258552
sample2	2	159	27.187749	21.400159	25.099443	26.054097	0.258552
sample2	2	160	26.750199	23.110581	22.454256	27.426412	0.258552
sample2	2	161	27.545744	21.280827	20.365951	30.548926	0.258552
sample2	2	162	26.670644	22.732697	22.951472	27.386635	0.258552
sample2	2	163	27.903739	22.315036	19.490851	30.031822	0.258552
sample2	2	164	27.207637	23.26969	21.638823	27.625298	0.258552
sample2	2	165	29.077168	22.11615	20.763723	27.784407	0.258552
sample2	2	166	29.077168	23.289578	20.485282	26.889419	0.258552
sample2	2	167	28.102625	25.397772	20.704057	25.556881	0.238663
sample2	2	168	27.684964	22.97136	22.991249	26.093874	0.258552
sample2	2	169	27.804296	25.536993	21.201273	25.218775	0.238663
sample2	2	170	30.270485	21.360382	21.6786	26.471758	0.218775
sample2	2	171	26.372315	22.155927	25.039777	26.193317	0.238663
sample2	2	172	28.023071	24.204455	20.22673	27.287192	0.258552
sample2	2	173	27.426412	21.877486	23.329356	27.108194	0.258552
sample2	2	174	26.511535	23.727128	21.280827	28.221957	0.258552
sample2	2	175	30.449483	22.235481	19.311854	27.764519	0.238663
sample2	2	176	28.739061	22.454256	22.83214	25.71599	0.258552
sample2	2	177	28.281623	21.758154	22.752586	26.949085	0.258552
sample2	2	178	26.093874	25.278441	21.758154	26.610979	0.258552
sample2	2	179	29.494829	22.414479	21.161496	26.710422	0.218775
sample2	2	180	26.173429	22.991249	24.86078	25.71599	0.258552
sample2	2	181	26.73031	24.721559	20.107399	28.18218	0.258552
sample2	2	182	26.670644	21.340493	25.616547	26.113763	0.258552
sample2	2	183	25.198886	24.005569	23.448687	27.088305	0.258552
sample2	2	184	26.789976	21.638823	22.295147	29.017502	0.258552
sample2	2	185	28.18218	21.181384	23.190135	27.187749	0.258552
sample2	2	186	27.74463	22.613365	21.778043	27.60541	0.258552
sample2	2	187	27.16786	22.215593	22.195704	28.162291	0.258552
sample2	2	188	29.77327	21.81782	21.420048	26.73031	0.258552
sample2	2	189	29.33572	22.016706	22.096261	26.272872	0.278441
sample2	2	190	27.366746	25.397772	21.81782	25.159109	0.258552
sample2	2	191	26.312649	22.673031	22.891806	27.863962	0.258552
sample2	2	192	26.352426	24.940334	22.553699	25.914877	0.238663
sample2	2	193	28.818616	21.360382	22.096261	27.446301	0.278441
sample2	2	194	26.770088	22.871917	26.073986	24.025457	0.258552
sample2	2	195	27.505967	23.806683	21.81782	26.59109	0.278441
sample2	2	196	27.048528	22.076372	23.389021	27.207637	0.278441
sample2	2	197	25.656325	21.957041	22.195704	29.932379	0.258552
sample2	2	198	27.804296	22.593477	22.295147	27.048528	0.258552
sample2	2	199	28.918059	23.249801	21.937152	25.636436	0.258552
sample2	2	200	28.023071	22.653142	22.474145	26.59109	0.258552
sample2	2	201	25.556881	25.477327	23.766905	24.920446	0.278441
sample2	2	202	28.221957	21.778043	21.937152	27.784407	0.278441
