SAMPLE	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
out/default/sample1	0	132988	0	0	0	0
out/default/sample1	1	95199	0	0	0	0
out/default/sample1	2	109792	0	0	0	0
out/default/sample1	3	140222	0	0	0	0
out/default/sample1	4	150722	0	0	0	0
out/default/sample1	5	153418	0	0	0	0
out/default/sample1	6	174673	0	0	0	0
out/default/sample1	7	188242	0	0	0	0
out/default/sample1	8	214901	0	0	0	0
out/default/sample1	9	243345	0	0	0	0
out/default/sample1	10	287961	0	0	0	0
out/default/sample1	11	353018	0	0	0	0
out/default/sample1	12	461843	0	0	0	0
out/default/sample1	13	610524	0	0	0	0
out/default/sample1	14	866615	0	0	0	0
out/default/sample1	15	1276618	0	0	0	0
out/default/sample1	16	1911027	0	0	0	0
out/default/sample1	17	2870773	3	20	0.431101	0.248896
out/default/sample1	18	4306582	2	20	0.191582	0.135469
out/default/sample1	19	6357009	5	24	0.32447	0.145107
out/default/sample1	20	9183190	7	22	0.314457	0.118854
out/default/sample1	21	12917454	15	21	0.479039	0.123687
out/default/sample1	22	17640188	10	22	0.233859	0.073953
out/default/sample1	23	23418465	21	25	0.369929	0.080725
out/default/sample1	24	30230970	37	22	0.504901	0.083005
out/default/sample1	25	37915861	53	22	0.576649	0.079209
out/default/sample1	26	46182566	93	24	0.830734	0.086143
out/default/sample1	27	54815892	131	23	0.985875	0.086136
out/default/sample1	28	63524441	163	23	1.058531	0.082911
out/default/sample1	29	71999791	176	24	1.008413	0.076012
out/default/sample1	30	80047325	195	23	1.004951	0.071966
out/default/sample1	31	87470369	175	22	0.825342	0.06239
out/default/sample1	32	93977180	242	23	1.062307	0.068288
out/default/sample1	33	99428237	225	23	0.933533	0.062236
out/default/sample1	34	103666273	265	23	1.054545	0.06478
out/default/sample1	35	106872856	247	23	0.953425	0.060665
out/default/sample1	36	108913729	260	24	0.984799	0.061075
out/default/sample1	37	109578595	250	24	0.941177	0.059525
out/default/sample1	38	108572510	269	23	1.02209	0.062318
out/default/sample1	39	106196649	268	24	1.041072	0.063594
out/default/sample1	40	102845644	265	24	1.06296	0.065297
out/default/sample1	41	98812843	254	23	1.060418	0.066537
out/default/sample1	42	94324400	224	23	0.979672	0.065457
out/default/sample1	43	89840132	261	23	1.19847	0.074183
out/default/sample1	44	85792102	204	22	0.980934	0.068679
out/default/sample1	45	82343538	220	23	1.102174	0.074309
out/default/sample1	46	79443525	219	23	1.137215	0.076846
out/default/sample1	47	76991699	170	23	0.910882	0.069861
out/default/sample1	48	74420026	222	23	1.230609	0.082593
out/default/sample1	49	71215537	181	22	1.048481	0.077933
out/default/sample1	50	67123561	149	22	0.915732	0.07502
out/default/sample1	51	62330076	133	23	0.88026	0.076328
out/default/sample1	52	57349287	138	22	0.992677	0.084502
out/default/sample1	53	52683098	99	22	0.775213	0.077912
out/default/sample1	54	48523384	129	22	1.096719	0.096561
out/default/sample1	55	44858897	101	20	0.928816	0.092421
out/default/sample1	56	41330603	88	22	0.878351	0.093632
out/default/sample1	57	37579084	76	22	0.834304	0.095701
out/default/sample1	58	33446311	96	22	1.184077	0.120849
out/default/sample1	59	28961591	88	24	1.253479	0.133621
out/default/sample1	60	24460903	84	22	1.416654	0.15457
out/default/sample1	61	20307467	70	23	1.421999	0.169961
out/default/sample1	62	16760353	62	21	1.526038	0.193807
out/default/sample1	63	13834411	42	23	1.252407	0.193251
out/default/sample1	64	11421283	33	20	1.191944	0.207491
out/default/sample1	65	9412261	40	22	1.753166	0.2772
out/default/sample1	66	7748579	30	22	1.597188	0.291605
out/default/sample1	67	6292539	21	22	1.376735	0.300428
out/default/sample1	68	5031060	21	24	1.721935	0.375757
out/default/sample1	69	4025404	14	22	1.434748	0.383452
out/default/sample1	70	3228609	13	22	1.661058	0.460695
out/default/sample1	71	2586312	17	22	2.711596	0.657659
out/default/sample1	72	2092749	7	0	1.379869	0.521541
out/default/sample1	73	1708384	8	23	1.931797	0.682993
out/default/sample1	74	1409191	17	20	4.976637	1.207012
out/default/sample1	75	1187753	6	28	2.083925	0.850759
out/default/sample1	76	1025655	7	24	2.815488	1.064154
out/default/sample1	77	902028	8	22	3.658701	1.293546
out/default/sample1	78	802356	3	0	1.54245	0.890534
out/default/sample1	79	700528	2	20	1.177773	0.832811
out/default/sample1	80	597861	2	23	1.380024	0.975824
out/default/sample1	81	502767	0	0	0	0
out/default/sample1	82	422249	0	0	0	0
out/default/sample1	83	347346	0	0	0	0
out/default/sample1	84	269298	0	0	0	0
out/default/sample1	85	194982	0	0	0	0
out/default/sample1	86	129590	0	0	0	0
out/default/sample1	87	83957	0	0	0	0
out/default/sample1	88	57883	0	0	0	0
out/default/sample1	89	37514	0	0	0	0
out/default/sample1	90	24589	0	0	0	0
out/default/sample1	91	15593	0	0	0	0
out/default/sample1	92	9212	0	0	0	0
out/default/sample1	93	5782	0	0	0	0
out/default/sample1	94	3352	0	0	0	0
out/default/sample1	95	1653	0	0	0	0
out/default/sample1	96	986	0	0	0	0
out/default/sample1	97	658	0	0	0	0
out/default/sample1	98	328	0	0	0	0
out/default/sample1	99	133	0	0	0	0
out/default/sample1	100	339	0	0	0	0
out/default/sample2	0	132988	0	0	0	0
out/default/sample2	1	95199	0	0	0	0
out/default/sample2	2	109792	0	0	0	0
out/default/sample2	3	140222	0	0	0	0
out/default/sample2	4	150722	0	0	0	0
out/default/sample2	5	153418	0	0	0	0
out/default/sample2	6	174673	0	0	0	0
out/default/sample2	7	188242	0	0	0	0
out/default/sample2	8	214901	0	0	0	0
out/default/sample2	9	243345	0	0	0	0
out/default/sample2	10	287961	0	0	0	0
out/default/sample2	11	353018	0	0	0	0
out/default/sample2	12	461843	0	0	0	0
out/default/sample2	13	610524	1	0	0.713668	0.713668
out/default/sample2	14	866615	0	0	0	0
out/default/sample2	15	1276618	0	0	0	0
out/default/sample2	16	1911027	1	0	0.227999	0.227999
out/default/sample2	17	2870773	0	0	0	0
out/default/sample2	18	4306582	2	0	0.202347	0.143081
out/default/sample2	19	6357009	7	22	0.479782	0.181341
out/default/sample2	20	9183190	8	23	0.379573	0.134199
out/default/sample2	21	12917454	4	21	0.134922	0.067461
out/default/sample2	22	17640188	14	25	0.345799	0.092419
out/default/sample2	23	23418465	24	21	0.446531	0.091148
out/default/sample2	24	30230970	36	23	0.518859	0.086477
out/default/sample2	25	37915861	54	23	0.620543	0.084445
out/default/sample2	26	46182566	77	22	0.72646	0.082788
out/default/sample2	27	54815892	102	24	0.810761	0.080277
out/default/sample2	28	63524441	135	24	0.925959	0.079694
out/default/sample2	29	71999791	127	23	0.768549	0.068198
out/default/sample2	30	80047325	175	23	0.952555	0.072006
out/default/sample2	31	87470369	188	23	0.936474	0.068299
out/default/sample2	32	93977180	222	23	1.029271	0.06908
out/default/sample2	33	99428237	218	23	0.955313	0.064702
out/default/sample2	34	103666273	192	24	0.80698	0.058239
out/default/sample2	35	106872856	252	24	1.027382	0.064719
out/default/sample2	36	108913729	254	23	1.016132	0.063758
out/default/sample2	37	109578595	236	23	0.938394	0.061084
out/default/sample2	38	108572510	233	23	0.93505	0.061257
out/default/sample2	39	106196649	247	23	1.01341	0.064482
out/default/sample2	40	102845644	236	24	0.999828	0.065083
out/default/sample2	41	98812843	222	24	0.978901	0.0657
out/default/sample2	42	94324400	238	23	1.09939	0.071263
out/default/sample2	43	89840132	205	23	0.99422	0.069439
out/default/sample2	44	85792102	204	22	1.036053	0.072538
out/default/sample2	45	82343538	193	22	1.021238	0.07351
out/default/sample2	46	79443525	224	23	1.228538	0.082085
out/default/sample2	47	76991699	202	22	1.143159	0.080432
out/default/sample2	48	74420026	187	22	1.09484	0.080063
out/default/sample2	49	71215537	170	23	1.040095	0.079772
out/default/sample2	50	67123561	157	22	1.019116	0.081334
out/default/sample2	51	62330076	156	23	1.090501	0.08731
out/default/sample2	52	57349287	157	22	1.192808	0.095196
out/default/sample2	53	52683098	112	22	0.926287	0.087526
out/default/sample2	54	48523384	124	23	1.113447	0.099991
out/default/sample2	55	44858897	109	21	1.05871	0.101406
out/default/sample2	56	41330603	100	22	1.05421	0.105421
out/default/sample2	57	37579084	89	22	1.031912	0.109382
out/default/sample2	58	33446311	73	22	0.950985	0.111304
out/default/sample2	59	28961591	80	22	1.203557	0.134562
out/default/sample2	60	24460903	82	23	1.46063	0.1613
out/default/sample2	61	20307467	66	23	1.416078	0.174307
out/default/sample2	62	16760353	54	24	1.403814	0.191035
out/default/sample2	63	13834411	49	24	1.543243	0.220463
out/default/sample2	64	11421283	36	24	1.373367	0.228894
out/default/sample2	65	9412261	45	24	2.083136	0.310536
out/default/sample2	66	7748579	32	22	1.799397	0.318091
out/default/sample2	67	6292539	21	23	1.454094	0.317309
out/default/sample2	68	5031060	26	22	2.251712	0.441597
out/default/sample2	69	4025404	19	24	2.056568	0.471809
out/default/sample2	70	3228609	17	20	2.294206	0.556427
out/default/sample2	71	2586312	14	22	2.358556	0.63035
out/default/sample2	72	2092749	10	30	2.082005	0.658388
out/default/sample2	73	1708384	14	27	3.570603	0.954284
out/default/sample2	74	1409191	7	21	2.164348	0.818047
out/default/sample2	75	1187753	5	22	1.834184	0.820272
out/default/sample2	76	1025655	5	19	2.124064	0.949911
out/default/sample2	77	902028	8	21	3.864283	1.36623
out/default/sample2	78	802356	1	0	0.54304	0.54304
out/default/sample2	79	700528	2	23	1.243952	0.879607
out/default/sample2	80	597861	1	15	0.728784	0.728784
out/default/sample2	81	502767	3	22	2.599881	1.501042
out/default/sample2	82	422249	0	0	0	0
out/default/sample2	83	347346	2	17	2.508804	1.773992
out/default/sample2	84	269298	0	0	0	0
out/default/sample2	85	194982	0	0	0	0
out/default/sample2	86	129590	0	0	0	0
out/default/sample2	87	83957	1	20	5.189698	5.189698
out/default/sample2	88	57883	0	0	0	0
out/default/sample2	89	37514	0	0	0	0
out/default/sample2	90	24589	0	0	0	0
out/default/sample2	91	15593	0	0	0	0
out/default/sample2	92	9212	0	0	0	0
out/default/sample2	93	5782	0	0	0	0
out/default/sample2	94	3352	0	0	0	0
out/default/sample2	95	1653	0	0	0	0
out/default/sample2	96	986	0	0	0	0
out/default/sample2	97	658	0	0	0	0
out/default/sample2	98	328	0	0	0	0
out/default/sample2	99	133	0	0	0	0
out/default/sample2	100	339	0	0	0	0
